,Title_New,city,state,company,ann_sal,stars,reviews
100,data scientist,Oakland,CA,Even,34142.0,,
157,data scientist,San Francisco,CA,kWh Analytics,120000.0,,
160,data scientist,Redwood City,CA,Workbridge Associates,115000.0,41.4,25.0
199,senior data scientist,San Francisco,CA,Workbridge Associates,165000.0,41.4,25.0
221,data engineer,San Francisco,CA,Workbridge Associates,135000.0,41.4,25.0
239,data scientist,San Francisco,CA,Medlytic,110000.0,,
245,data other,San Francisco,CA,International Antiviral Society-USA (IAS-USA),38000.0,,
251,data analyst,Oakland,CA,Peralta Community College District,84750.0,54.0,11.0
282,data scientist,Redwood City,CA,Jobspring Partners,140000.0,40.8,12.0
303,data scientist,Brisbane,CA,Corporate Labs Technology,145000.0,,
313,data scientist,Brisbane,CA,Corporate Labs Technology,145000.0,,
336,data scientist,San Francisco,CA,Workbridge Associates,180000.0,41.4,25.0
362,data scientist,Walnut Creek,CA,NelsonJobs,100000.0,,
363,data other,San Francisco,CA,Galvanize,62500.0,60.0,2.0
379,senior data scientist,San Francisco,CA,Workbridge Associates,165000.0,41.4,25.0
428,misc,San Francisco,CA,Blue Owl,250000.0,,
430,data analyst,San Francisco,CA,Workbridge Associates,115000.0,41.4,25.0
497,data analyst,Berkeley,CA,University of California Berkeley,64990.0,51.6,109.0
521,scientist,Berkeley,CA,University of California Berkeley,62850.0,51.6,109.0
567,misc,Emeryville,CA,Nano Precision Medical,114000.0,,
576,data other,San Francisco,CA,Workbridge Associates,160000.0,41.4,25.0
596,data engineer,San Francisco,CA,Jobspring Partners,165000.0,40.8,12.0
598,misc,Berkeley,CA,Lawrence Berkeley National Laboratory,76250.0,52.199997,60.0
602,data scientist,San Francisco,CA,Workbridge Associates,145000.0,41.4,25.0
609,misc,San Francisco,CA,NESC Staffing Corp,46000.0,,
642,senior data scientist,San Francisco,CA,Workbridge Associates,145000.0,41.4,25.0
648,data analyst,Berkeley,CA,University of California Berkeley,76150.0,51.6,109.0
699,misc,Berkeley,CA,University of California Berkeley,70000.0,51.6,109.0
724,scientist,South San Francisco,CA,Hart,60000.0,51.0,21.0
726,data engineer,San Francisco,CA,HERO.jobs,200000.0,,
792,data analyst,Berkeley,CA,University of California Berkeley,53800.0,51.6,109.0
799,data engineer,San Mateo,CA,Workbridge Associates,117500.0,41.4,25.0
851,data engineer,San Francisco,CA,Workbridge Associates,160000.0,41.4,25.0
908,data engineer,San Francisco,CA,Jobspring Partners,172500.0,40.8,12.0
909,scientist,San Francisco,CA,Harmin Services,60000.0,,
937,data engineer,San Francisco,CA,Workbridge Associates,140000.0,41.4,25.0
950,misc,San Francisco,CA,Jobspring Partners,145000.0,40.8,12.0
998,data engineer,Foster City,CA,ZP Group,110000.0,,
3,scientist,Atlanta,GA,Centers for Disease Control and Prevention,101553.5,54.0,64.0
15,senior data scientist,Atlanta,GA,"eHire, LLC",150000.0,,
20,scientist,Atlanta,GA,Centers for Disease Control and Prevention,120002.5,54.0,64.0
21,senior data scientist,Atlanta,GA,Stackfolio,80000.0,,
48,statistician,Atlanta,GA,Centers for Disease Control and Prevention,120002.5,54.0,64.0
52,data analyst,Atlanta,GA,SearchBankingJobs,177500.0,,
57,senior data scientist,Atlanta,GA,Analytic Recruiting,112500.0,51.0,2.0
61,data scientist,Duluth,GA,The Centrics Group,96000.0,,
66,scientist,Atlanta,GA,Centers for Disease Control and Prevention,120002.5,54.0,64.0
70,data analyst,Norcross,GA,CI Radar,31000.0,,
73,misc,Atlanta,GA,Centers for Disease Control and Prevention,101553.5,54.0,64.0
97,statistician,Roswell,GA,Principle Solutions Group,130000.0,42.6,8.0
105,scientist,Atlanta,GA,Emory University,69900.0,51.6,254.0
137,misc,Decatur,GA,DeKalb Workforce Development,31000.0,42.0,10.0
147,data analyst,Atlanta,GA,CSTE,51706.0,,
179,data analyst,Atlanta,GA,Emory University,66700.0,51.6,254.0
186,misc,Atlanta,GA,Centers for Disease Control and Prevention,141158.0,54.0,64.0
190,data scientist,Norcross,GA,CareerBuilder,10000.0,51.6,106.0
219,misc,Atlanta,GA,SRG,50000.0,42.6,16.0
220,data analyst,Atlanta,GA,Interesse International Inc,65000.0,,
227,scientist,Smyrna,GA,Lighthouse Recruiting,62500.0,,
283,misc,Alpharetta,GA,Amana Academy Charter School,34999.5,,
285,data other,Atlanta,GA,Synergy Search Group,80000.0,42.0,194.0
22,scientist,Austin,TX,University of Texas at Austin,71400.0,53.4,403.0
26,data analyst,Austin,TX,University of Texas at Austin,66492.0,53.4,403.0
32,data analyst,Austin,TX,Health & Human Services Comm,63990.0,,
37,data analyst,Austin,TX,Health & Human Services Comm,73200.0,,
38,data scientist,Austin,TX,University of Texas at Austin,102498.0,53.4,403.0
39,data analyst,Austin,TX,University of Texas at Austin,58992.0,53.4,403.0
40,data scientist,Austin,TX,Health & Human Services Comm,83298.0,,
41,statistician,Austin,TX,Texas Department of Public Safety,48720.0,44.4,98.0
42,senior data scientist,Austin,TX,All-In Analytics,150000.0,,
43,data scientist,Austin,TX,University of Texas at Austin,102498.0,53.4,403.0
45,scientist,Austin,TX,University of Texas at Austin,71400.0,53.4,403.0
62,data analyst,Austin,TX,University of Texas at Austin,34008.0,53.4,403.0
66,data engineer,Austin,TX,Volt Workforce Solutions,135000.0,43.2,1513.0
67,misc,Austin,TX,Dept of State Health Services,56400.0,51.6,18.0
77,misc,Austin,TX,XOR Data Exchange,90000.0,,
86,scientist,Austin,TX,University of Texas at Austin,71400.0,53.4,403.0
98,scientist,Austin,TX,Texas Department of Public Safety,54294.0,44.4,98.0
111,scientist,Austin,TX,University of Texas at Austin,102498.0,53.4,403.0
129,scientist,Austin,TX,University of Texas at Austin,102498.0,,
137,scientist,Austin,TX,City of Austin,53240.0,52.800003,85.0
151,scientist,Austin,TX,University of Texas at Austin,102498.0,53.4,403.0
154,scientist,Austin,TX,Lighthouse Recruiting,70000.0,,
161,misc,Austin,TX,University of Texas at Austin,78000.0,53.4,403.0
16,data scientist,Cambridge,MA,Strategic Employment Partners,112500.0,,
19,data scientist,Boston,MA,Jobspring Partners,135000.0,40.8,12.0
20,data scientist,Boston,MA,Mayovika LLC,136000.0,,
22,data engineer,Cambridge,MA,Aequor Technologies,110000.0,40.2,5.0
49,senior data scientist,Boston,MA,Jobspring Partners,150000.0,40.8,12.0
87,data scientist,Cambridge,MA,The Centrics Group,110000.0,,
112,data analyst,Boston,MA,Northeastern University,60000.0,52.800003,191.0
136,data scientist,Boston,MA,"Human Capital Resource, LLC.",140000.0,,
138,data engineer,Boston,MA,Jobspring Partners,100000.0,40.8,12.0
145,scientist,Boston,MA,Fortira,60000.0,,
147,senior data scientist,Cambridge,MA,Strategic Employment Partners,150000.0,,
148,data analyst,Wilmington,MA,US Engineering Technical Services,110000.0,,
151,data engineer,Cambridge,MA,The Bivium Group,125000.0,,
182,data analyst,Boston,MA,Commonwealth of Massachusetts,57786.0,51.0,135.0
190,data analyst,Boston,MA,Selby Jennings,97500.0,,
222,data analyst,Boston,MA,Fanning Personnel,95000.0,,
265,data engineer,Boston,MA,Harnham,160000.0,,
275,data engineer,Cambridge,MA,Neurable,105000.0,,
298,scientist,Norwood,MA,Informatic Technologies Inc,84000.0,,
307,misc,Boston,MA,The Bivium Group,140000.0,,
308,data scientist,Cambridge,MA,The Bivium Group,115000.0,,
321,data analyst,Boston,MA,Analytic Recruiting,110000.0,51.0,2.0
323,data engineer,Boston,MA,"DTS - NLP, Machine Learning",200000.0,,
331,data other,Quincy,MA,Interpro Inc,120000.0,,
342,data analyst,Andover,MA,GCM,56000.0,51.6,13.0
345,misc,Maynard,MA,Commonwealth of Massachusetts,42421.5,51.0,135.0
352,misc,Boston,MA,Liberty Mutual,134950.0,43.8,1218.0
362,misc,Boston,MA,Liberty Mutual,112750.0,43.8,1218.0
428,misc,Bedford,MA,Bedford Research Foundation,42500.0,,
435,statistician,Boston,MA,"Human Capital Resource, LLC.",140000.0,,
444,senior data scientist,Boston,MA,Jobspring Partners,140000.0,40.8,12.0
460,data analyst,Hopkinton,MA,Liberty Mutual,116000.0,43.8,1218.0
493,data engineer,Boston,MA,Workbridge Associates,140000.0,41.4,25.0
510,data analyst,Boston,MA,Commonwealth of Massachusetts,78928.5,51.0,135.0
575,data analyst,Boston,MA,Execu | Search,130000.0,43.8,59.0
621,data analyst,Boston,MA,Commonwealth of Massachusetts,64942.0,51.0,135.0
631,statistician,Framingham,MA,IconsultUS,86000.0,,
647,data engineer,Framingham,MA,Big Wednesday Digital,87500.0,,
661,misc,Boston,MA,Commonwealth of Massachusetts,66111.0,51.0,135.0
711,scientist,Malden,MA,Commonwealth of Massachusetts,81867.5,51.0,135.0
771,misc,Boston,MA,BIG 6 Search International,212500.0,,
814,misc,Boston,MA,The Bivium Group,125000.0,,
831,data analyst,Boston,MA,John Leonard,72500.0,42.0,6.0
845,scientist,Woburn,MA,AR Pharma,50000.0,,
851,misc,Boston,MA,The Bivium Group,120000.0,,
872,misc,Cambridge,MA,The Bivium Group,102500.0,,
876,misc,Lexington,MA,Planet Pharma,320000.0,,
891,misc,Boston,MA,Jobspring Partners,105000.0,40.8,12.0
900,data analyst,Boston,MA,Selby Jennings,120000.0,,
901,data analyst,Boston,MA,Selby Jennings,120000.0,,
906,misc,Boston,MA,Jobspring Partners,120000.0,40.8,12.0
934,misc,Boston,MA,Jobspring Partners,150000.0,40.8,12.0
41,data scientist,Chicago,IL,Hirewell,120000.0,,
42,data scientist,Chicago,IL,Workbridge Associates,105000.0,41.4,25.0
43,data engineer,Chicago,IL,Jobspring Partners,110000.0,40.8,12.0
49,data scientist,Chicago,IL,Workbridge Associates,95000.0,41.4,25.0
55,data analyst,Chicago,IL,GinasTechJobs.com,180000.0,,
66,data scientist,Chicago,IL,Workbridge Associates,110000.0,41.4,25.0
95,scientist,Chicago,IL,Metropolitan Water Reclamation District of Greater...,115185.5,51.0,7.0
102,data scientist,Deerfield,IL,Hirewell,125000.0,,
108,data analyst,Chicago,IL,Huxley Banking & Financial Services,110000.0,,
109,data scientist,Chicago,IL,Selby Jennings,150000.0,,
120,senior data scientist,Chicago,IL,Analytic Recruiting,140000.0,51.0,2.0
126,senior data scientist,Chicago,IL,Workbridge Associates,180000.0,41.4,25.0
128,data analyst,Chicago,IL,Silva Capital Management,125000.0,,
143,data analyst,Chicago,IL,S.C. International,80000.0,,
155,data analyst,Chicago,IL,Mission Measurement,40000.0,,
161,senior data scientist,Chicago,IL,Workbridge Associates,132500.0,41.4,25.0
164,data scientist,Chicago,IL,Jobspring Partners,115000.0,40.8,12.0
172,data analyst,Chicago,IL,InsightsNow Inc.,50000.0,,
181,senior data scientist,Chicago,IL,Workbridge Associates,200000.0,41.4,25.0
187,data analyst,Evanston,IL,Smith Hanley Associates,67500.0,51.6,12.0
208,misc,Chicago,IL,Cook County Health & Hospitals System,55220.0,52.800003,8.0
226,data analyst,Chicago,IL,Creative Circle,70000.0,,
233,data other,Chicago,IL,Jobspring Partners,87500.0,40.8,12.0
263,scientist,Chicago,IL,Workbridge Associates,145000.0,41.4,25.0
277,scientist,Chicago,IL,Metropolitan Water Reclamation District of Greater...,128016.0,51.0,7.0
278,data analyst,Chicago,IL,The LaSalle Network,90000.0,41.4,50.0
290,data analyst,Chicago,IL,Smith Hanley Associates,82500.0,51.6,12.0
292,senior data scientist,Des Plaines,IL,Workbridge Associates,155000.0,41.4,25.0
357,scientist,Chicago,IL,Food Management Search,85000.0,,
367,data other,Chicago,IL,Selby Jennings,150000.0,,
376,misc,Evanston,IL,Jobspring Partners,170000.0,40.8,12.0
427,data other,Chicago,IL,Jobspring Partners,85000.0,40.8,12.0
428,data other,Chicago,IL,Jobspring Partners,87500.0,40.8,12.0
433,scientist,Chicago,IL,Jobspring Partners,90000.0,40.8,12.0
438,misc,Deerfield,IL,Momentum Scientific,33000.0,,
446,data other,Chicago,IL,Jobspring Partners,87500.0,40.8,12.0
50,data scientist,New York,NY,Averity,85000.0,,
64,data scientist,New York,NY,Big Cloud,150000.0,,
84,senior data scientist,New York,NY,Beeswax,147500.0,,
85,data analyst,New York,NY,Third Bridge,48000.0,42.0,2.0
104,data scientist,New York,NY,Workbridge Associates,120000.0,41.4,25.0
119,senior data scientist,Long Island City,NY,Averity,100000.0,,
120,data scientist,Manhattan,NY,DEPARTMENT OF TRANSPORTATION,71814.5,52.199997,501.0
121,data scientist,New York,NY,Wade & Wendy,100000.0,,
140,data engineer,New York,NY,DTS - Machine Learning Practice,200000.0,,
144,data scientist,New York,NY,Harnham,150000.0,,
152,data analyst,Manhattan,NY,HRA/DEPT OF SOCIAL SERVICES,77975.0,,
156,senior data scientist,New York,NY,Averity,150000.0,,
162,senior data scientist,New York,NY,Averity,150000.0,,
165,data engineer,New York,NY,Averity,215000.0,,
172,data analyst,New York,NY,StreetID,120000.0,,
180,data scientist,New York,NY,Princeton Consulting,150000.0,,
187,data engineer,New York,NY,Averity,215000.0,,
195,data scientist,New York,NY,Selby Jennings,135000.0,,
198,data analyst,New York,NY,Averity,225000.0,,
229,data scientist,New York,NY,VROOM,115000.0,,
236,misc,New York,NY,Selby Jennings,200000.0,,
267,data analyst,New York,NY,Parker and Lynch,87500.0,42.0,8.0
270,statistician,New York,NY,POLICE DEPARTMENT,51363.0,51.0,33.0
273,data scientist,Manhattan,NY,CONSUMER AFFAIRS,65977.0,54.0,2.0
285,data scientist,New York,NY,TW Staffing Solutions,199000.0,,
287,data analyst,New York,NY,Pro Partners Staffing,80000.0,,
295,data scientist,New York,NY,Workbridge Associates,125000.0,41.4,25.0
309,data analyst,New York,NY,DEPT OF ENVIRONMENT PROTECTION,79249.5,,
321,data analyst,New York,NY,DEPT OF HEALTH/MENTAL HYGIENE,76941.5,51.0,5.0
339,misc,Manhattan,NY,DEPT OF PARKS & RECREATION,75143.0,,
340,misc,New York,NY,Columbia University,50000.0,52.199997,325.0
348,data analyst,Manhattan,NY,The Custom Group of Companies,60000.0,,
353,data analyst,Manhattan,NY,DEPT OF HEALTH/MENTAL HYGIENE,64055.5,51.0,5.0
354,statistician,Long Island City,NY,New York City Department of Health and Mental Hygi...,88331.0,52.800003,35.0
370,data analyst,New York,NY,RAZR Recruiting + Consulting,80000.0,,
371,data scientist,New York,NY,"The Hagan-Ricci Group, Inc.",250000.0,,
372,data scientist,New York,NY,Integrated Management Resources,120000.0,,
375,data analyst,Manhattan,NY,HRA/DEPT OF SOCIAL SERVICES,59984.5,,
391,data analyst,New York,NY,JEG Search,60000.0,,
392,senior data scientist,New York,NY,Net-Consultants,160000.0,,
396,data engineer,New York,NY,ingenium,200000.0,40.8,6.0
408,data engineer,New York,NY,Harnham,110000.0,,
424,senior data scientist,New York,NY,Averity,200000.0,,
430,misc,Manhattan,NY,DEPT OF HEALTH/MENTAL HYGIENE,79249.5,51.0,5.0
437,data analyst,New York,NY,DEPT OF HEALTH/MENTAL HYGIENE,86750.0,51.0,5.0
448,senior data scientist,New York,NY,Workbridge Associates,125000.0,41.4,25.0
455,data other,New York,NY,Harnham,190000.0,,
456,senior data scientist,New York,NY,Averity,175000.0,,
457,scientist,New York,NY,Laguna Source,100000.0,,
460,misc,New York,NY,Workbridge Associates,100000.0,41.4,25.0
473,data analyst,New York,NY,Datacom Technology Group,200000.0,,
476,senior data scientist,New York,NY,Averity,127500.0,,
484,data scientist,New York,NY,Harnham,220000.0,,
491,data analyst,Manhattan,NY,DEPARTMENT OF FINANCE,74119.5,51.0,66.0
495,misc,Long Island City,NY,New York City Department of Health and Mental Hygi...,68239.0,52.800003,35.0
521,data scientist,New York,NY,Harnham,180000.0,,
528,misc,Manhattan,NY,DEPT OF YOUTH & COMM DEV SRVS,76941.5,,
538,data scientist,New York,NY,Geode Executive Search,200000.0,,
546,data analyst,New York,NY,Univision communications inc,55000.0,42.6,32.0
547,misc,New York,NY,NYC Department of Finance,73357.0,,
559,senior data scientist,New York,NY,POLICE DEPARTMENT,90981.0,51.0,33.0
560,scientist,New York,NY,Centers for Disease Control and Prevention,117437.5,54.0,64.0
561,data analyst,New York,NY,Selby Jennings,175000.0,,
578,misc,New York,NY,Execu | Search,125000.0,43.8,59.0
586,misc,New York,NY,ADMIN FOR CHILDREN'S SVCS,79249.5,42.0,6.0
599,data analyst,New York,NY,Selby Jennings,97500.0,,
613,data scientist,New York,NY,Talon,120000.0,43.8,6.0
616,statistician,Manhattan,NY,DEPT OF INFO TECH & TELECOMM,79025.5,,
619,data analyst,New York,NY,"Preqin,Inc.",45625.0,,
630,data analyst,New York,NY,Investment Management Services,65000.0,,
651,data analyst,New York,NY,Next Generation Recruitment & Staffing Agency,160000.0,,
690,misc,New York,NY,Columbia University,54400.0,52.199997,325.0
691,senior data scientist,New York,NY,Averity,140000.0,,
703,data scientist,New York,NY,Selby Jennings,150000.0,,
704,data analyst,New York,NY,Selby Jennings,95000.0,,
709,data analyst,Manhattan,NY,OFFICE OF MANAGEMENT & BUDGET,78510.5,60.0,2.0
710,senior data scientist,New York,NY,Workbridge Associates,165000.0,41.4,25.0
723,misc,New York,NY,Columbia University,40480.0,52.199997,325.0
728,data analyst,New York,NY,Selby Jennings,212500.0,,
749,statistician,Elizabeth,NJ,ETS Inc.,115000.0,,
759,data engineer,New York,NY,Averity,100000.0,,
765,senior data scientist,Union,NJ,Averity,107500.0,,
779,scientist,New York,NY,Research Foundation of The City University of New...,61500.0,52.800003,8.0
780,data scientist,New York,NY,Selby Jennings,157500.0,,
781,data analyst,New York,NY,Abacus Group,105000.0,52.199997,6.0
788,data analyst,Orangeburg,NY,"Mental Health, Office of",26143.0,,
825,misc,New York,NY,ADMIN FOR CHILDREN'S SVCS,97866.5,42.0,6.0
837,statistician,New York,NY,Averity,107500.0,,
838,misc,Manhattan,NY,DEPT OF HEALTH/MENTAL HYGIENE,88331.0,51.0,5.0
874,data analyst,New York,NY,Research Foundation of The City University of New...,52500.0,52.800003,8.0
876,misc,Manhattan,NY,DEPARTMENT OF FINANCE,73357.0,51.0,66.0
879,data analyst,Rockleigh,NJ,Takasago International Corp (USA),50000.0,,
887,misc,Manhattan,NY,DEPT OF HEALTH/MENTAL HYGIENE,64055.5,51.0,5.0
896,misc,New York,NY,ADMIN FOR CHILDREN'S SVCS,76941.5,42.0,6.0
903,data other,New York,NY,Selby Jennings,175000.0,,
909,misc,New York,NY,VROOM,120000.0,,
917,data other,New York,NY,Green Key Resources,195000.0,52.800003,28.0
918,misc,New York,NY,ADMIN FOR CHILDREN'S SVCS,76941.5,42.0,6.0
